description,image,number,seller,price,ratting,category
"Syvo WT 3130 Aluminum Tripod (50-Inch), Universal Lightweight Tripod with Mobile Phone Holder Mount & Carry Bag for All…","https://images-eu.ssl-images-amazon.com/images/I/61H1dMNTSnL._AC_UL200_SR200,200_.jpg",76,Unknown,699.0,4.3,ELECTRONICS
Dell Km117 Wireless Keyboard Mouse,"https://images-eu.ssl-images-amazon.com/images/I/61d4mVumQhL._AC_UL200_SR200,200_.jpg",77,Unknown,1329.0,4.2,ELECTRONICS
Mi 10W Wall Charger for Mobile Phones with Micro USB Cable (Black),"https://images-eu.ssl-images-amazon.com/images/I/61bOhEDkU7L._AC_UL200_SR200,200_.jpg",78,Unknown,499.0,4.2,ELECTRONICS
"Mi Micro USB Cable (120cm, USB Type A, Black)","https://images-eu.ssl-images-amazon.com/images/I/61Mx3gDrY7L._AC_UL200_SR200,200_.jpg",79,Unknown,199.0,4.2,ELECTRONICS
JBL C50HI in-Ear Headphones with Mic (Black),"https://images-eu.ssl-images-amazon.com/images/I/61bKM6CSSFL._AC_UL200_SR200,200_.jpg",80,Unknown,499.0,3.8,ELECTRONICS
boAt Rockerz 450 Bluetooth On-Ear Headphone with Mic(Luscious Black),"https://images-eu.ssl-images-amazon.com/images/I/61ihz46SLOL._AC_UL200_SR200,200_.jpg",81,Unknown,1499.0,4.0,ELECTRONICS
"Samsung Galaxy M21 (Midnight Blue, 4GB RAM, 64GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/71dujTTJDZL._AC_UL200_SR200,200_.jpg",82,Unknown,12499.0,4.2,ELECTRONICS
"pTron Tangent Lite Bluetooth 5.0 Wireless Headphones with Hi-Fi Stereo Sound, 6Hrs Playtime, Lightweight Ergonomic…","https://images-eu.ssl-images-amazon.com/images/I/51Bi92jvyDL._AC_UL200_SR200,200_.jpg",83,Unknown,649.0,3.6,ELECTRONICS
"Samsung Galaxy M31 (Space Black, 6GB RAM, 128GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/71OxJeyywSL._AC_UL200_SR200,200_.jpg",84,Unknown,16499.0,4.3,ELECTRONICS
Zinq Technologies Cool Slate Dual Fan Cooling Pad for Notebook/Laptop with Dual USB Port(Black),"https://images-eu.ssl-images-amazon.com/images/I/71s7hhBssLL._AC_UL200_SR200,200_.jpg",85,Unknown,849.0,4.2,ELECTRONICS
